"笑侃流年百态：很多人质疑黄晓明，
何德何能担任影协副主席，
其实这是对黄晓明的最大偏见。
演技过硬代表作数不胜数，
虽然有点名不副实，但至少是爱国的，也比那些他国国籍的伪君子好很多,60041443725,上善若水186110928,"[['真的名副其实。中生代里，演技、形象、责任感，黄都是最出色的，甚至没有之一。', 9539561115, '笑侃流年百态'], ['真没有', 9539561115, '笑侃流年百态'], ['名不副实？黄晓明非常好！', 2651649601452852, 'Liu1tong'], ['小明哥人品、演技都太棒了', 68745375283, '乐天派生活家neX'], 4]"
黄晓明比很多副主席都强,4506886283,快乐游侠42637116,"[['各有千秋', 9539561115, '笑侃流年百态'], ['比李雪健、陈道明主席、这些领导捐的多了', 5790192310, '金刚锁链顺风拳'], 2]"
祝贺晓明，荣升影协付主席，你的演艺水平和長年所做的善事理应做上这个位置。,4011467915921565,梦幻橘子9,"[['是的', 9539561115, '笑侃流年百态'], ['[握手][握手][握手]', 9539561115, '笑侃流年百态'], 2]"
黄晓明有爱心，灾害面前总是冲在前面第一个捐款捐物，有担当有责任，赞成担任影协副主席。,67091105305,微笑橘子GJE,"[['[握手][握手][握手]', 9539561115, '笑侃流年百态'], 1]"
喜欢三现正，善良有爱的小明哥希望在演绎事业上更上一层楼加油吧！[赞][玫瑰][玫瑰],78941562757,80后6805,"[['您我大家都加油', 9539561115, '笑侃流年百态'], 1]"
晓明哥，内地最年轻的大满贯影帝，两度金鸡奖，十分热衷慈善公益，有谁能[赞],4388857290435517,用户7439594631307,"[['是的', 9539561115, '笑侃流年百态'], ['他的作品还是很多的', 59095113632, '灵敏松鼠tr'], 2]"
挺好的演员，又做慈善事业，越来越成熟的演技[玫瑰][玫瑰][玫瑰],105679718123,曙光3663,"[['嗯嗯', 9539561115, '笑侃流年百态'], 1]"
自然不炒作，演技不断地上升。,685736066300475,无忧的小红花Nj,"[['[握手][握手][握手]', 9539561115, '笑侃流年百态'], 1]"
小明还是不错的,4229270595,奇幻画板PIN,"[['是滴', 9539561115, '笑侃流年百态'], 1]"
黄晓明善良，每次捐款都有他，而且不少，演技也算不错。[点亮平安灯][点亮平安灯][点亮平安灯],3685986891477288,梦想成真了嗎,"[['所言甚是', 9539561115, '笑侃流年百态'], 1]"
黄晓明为人正直善良，三观很正，又有爱心，实至名归[赞],110525066416,跑呀跳吖,"[['是的', 9539561115, '笑侃流年百态'], ['[碰拳][碰拳][耶]', 110525066416, '跑呀跳吖'], 2]"
挺好的一个男人，努力、上进、善良…，为什么这么对他有成见，不公平[捂脸],7592728085,懂不懂Jack,"[['[握手][握手]', 9539561115, '笑侃流年百态'], ['是的', 9539561115, '笑侃流年百态'], 2]"
只要哪里出现灾情，黄晓明都会在第一时间捐献财物，他这人品可以说是在演艺界数一数二的，懂得感恩回馈社会，这才是真正的好演员！他被选副主席是当之无愧的！,2664828144201288,琴岛青,"[['当之无愧！', 9539561115, '笑侃流年百态'], 1]"
实至名归，正能量满满，善良演枝越来越棒[赞][赞][送自己一朵花][送自己一朵花][送自己一朵花],109258140246,不凡梦想hQ,"[['天道酬勤', 9539561115, '笑侃流年百态'], 1]"
致力公益，正气阳光帅气[赞],3527653002052222,叶子,"[['的确', 9539561115, '笑侃流年百态'], 1]"
特别正能量的人！[赞],56151331045,多才多艺钢琴hK,"[['看来眼睛雪亮的还是多[握手][握手][握手]', 9539561115, '笑侃流年百态'], ['🎊一起春节倒计时', 4322919188273948, '皖A房王'], 2]"
来，拿的出手的作品是啥，比他拿的出手的演员多了去了,6659592342,杨仔路怒
我本人很看好👌点赞👍小明是个不错的演员、孝子，帅气、谦和，有教养，但也因娶妻铺张人名币，多少还是遭到诟病，尽管他是花的自己的钱，但还是难免被非议，因此也在人们心中跌过份儿。后来他离婚，众人拍手叫好，从另一个侧面也说明他娶妻不慎！哈哈哈[捂脸][大笑],97273767377,言无不尽MD
名气比较大！,70106588641,锦润雅庭装饰
挺好的 支持,4101635136303341,韵爹
黄晓明最棒[赞][赞][赞],106088978947,简单喜鹊xo
他真演艺界真的是位拿的出手的演员，综合评价应是90分,53246044283,木子159153863
晓明很好啊,6242513120,一个勺子3
优秀演员人品也很好。点赞。,61841740212,自在露珠N
喜欢三现正，善良有爱的小明哥加油💪,78941562757,80后6805
支持支持黄晓明[赞][赞][赞],111141788306,魔法明月yP
祝贺黄晓明实至名归！,2550500462437816,活泼明月KU
黄晓明人己经非常正能量了,2809979243077854,智勇双全火车SP
支持晓明哥,105672676723,不安的本本呀
晓明三观正 有爱心有作品还是有资格担当滴👍,5563928622,Y晓X
这可是 明教教主啊 明天王[泪奔],2839002883,我是西楚的霸王
太爱他了，太帅了呀,536187435749271,用户8847391252111
你们说黄晓明不行、我第一个不服,93075004143,小罗学剪辑kk
别看他长得年轻，已经不小了，怎么没资格,84995869161,南北先生x
黄晓明人很善良，演技很好，热心公益，担任副主席，实至名归。[祈祷][祈祷][祈祷],492193389491448,QIN.🍓🍊
喜欢三现正，善良有爱的小明哥[赞],3391317689,喜庆的光束le
支持黄晓明啊！他作为演员好作品也不少，且多年低调做公益，感觉他心地善良，年轻有为，口碑人缘也不错，说明业界同行也认可他，为啥不能做影协副主席呢？,1516963134702347,燕舞欢歌
支持黄晓明和他同学演戏[比心][比心][比心][比心],3773968341276280,清爽苹果ON
黄晓明不错,59143204045,清闲的饭团fx
黄晓明是个不错的人。祝福。,2819573920826044,明亮的阿明
又帅又多金，没啥负面新闻就够了[捂脸][捂脸][捂脸],50620985757,春眠不觉晓沃
挺好的,65677737951,热心云朵bS
比百分之99的演员好👌🏻,3743210297638304,像风一样的男子IP
说好话存善心，善良积德，老天有眼，公道自在人心。君子求诸自己，小人求诸人。与人为善，心怀美好，阴暗人想的是负面。认知和人品很重要，针的尘锐是天生的，让他人流血是后天学会的。多读书开阔眼界，格局打开，不会那么狭隘了，见不得别人好[捂脸],86243612024,心态好才更健康
正直,4460036341111424,风趣弘立A
黄晓明没得喷，除了前妻稍差点。,109151372197,卡尼吉亚MT
支持黄晓明实力派[赞],4453480134088955,刁望涛
帅，去油成功,10831093062,江湖寂寞客
支持黄哓明善良的人，做公益,611774908349543,大气辰星wf
就凭他德艺双馨！德，大善之人，每逢灾情，必出手捐款捐物，且数额巨大，不象有些演员抠搜！艺，获奖无数！,1656289225611060,卧看牵牛织女星213
长这么帅这么有钱，没有负面绯闻，自律性已经胜过99%的男人。就他给杨颖带去的不管是世纪婚礼还是影视资源都是很大气，离婚也没有撕扯，彼此没有抱怨（说实话是小明亏一点）,6953151951,三枪杂谈
早就是BOSS级别的了，配得起这个副主席,52314187399,萌二侠
俺是青岛的，加油！[击掌][击掌],1604928700427453,阳春应有脚
黄晓明是正直善良的好演员，无论什么地方受灾在演员行业里每次捐款都有他。他是最有资格当选，支持[赞],55192017027,上进的星星uO
正能量满满，每次灾害他都带头捐款了，当之无愧,80197382804,乘风破浪的柳叶WZ
文化程度大学，工作业绩多部影视剧主角，岗位胜任富富有余,52720946900,鈡子
只要品行端正，谁当都无所谓[呲牙],82791990039,烛光中的倒影
是个正能量满满的山东汉子[赞],4309717467821752,文
黄晓明决对能胜任这工作！因为黄晓明三关正！支持，支持,3971077252591143,用户3018594402446
黄总至今未听说有啥负面新闻，也没听说有绯闻,4218145530722535,我也是
黄晓明长相演技一流，而且从未有过绯闻！,59857742418,青青1337783
喜欢黄晓明，德艺双馨，每次捐款都排前列，支持这样的良心演员。,55666598802,魏英朱可
一直在进步。,95722582728,qiangyun强云480
黄晓明是个正能量的人，支持他[赞],5950345866,风趣五月
支持小明,2893515205905344,loveQQw
捐款积极，演技也好。风起长林里面的平璋演的相当不错[赞],73523315857,知足1常乐2
这样有大爱人品好 正能量的人当之无愧[赞][赞][赞]他用品行赢得业内和观众的尊重敬佩[赞][赞][赞],7780803923,水中鱼游啊游
不知道为啥那么多黑黄晓明地，我个人觉得黄挺好一人,77533436532,哇塞84639
支持黄晓明,104530373794,用户9236006340138
从他花费巨资打造的所谓世纪婚礼，就感觉他人飘了，事业的重心不再是当一个好演员了,1302297667712382,笑脸
黄晓明现今男一号，有哪个超过了他。实质名归。,694537744810685,温柔柳州1C8
一个很有爱心的人！哪里有灾难那里就有小明哥的身影[比心][赞],2818792993063604,恰遇，秋分时节！
我欣赏黄晓明。国家有难同胞有灾，他始终冲在一线。品行好三观正，堪称德艺双馨。超赞[比心],99249290691,羊羊羊
我不知道黄晓明为什么不能当选，请不同意的举例说明,92472828196,清茶12438
有钱能使鬼推磨，人家生意做的特别大,3808342542128543,勇往直前的星辰ie
可以吐槽他的演技，但人家人品确实不错,93460107034,想什么呢想发财
黄晓明！每次中国哪个地方受灾，他和韩红一样，第一个捐款捐物资！[赞][赞][赞][赞][赞][赞],3795945045625518,爱生活的蛋糕Rw
综合起来看他确实是不二人选，支持！,1072738427217863,用户701138466792
黄晓明还是不错的，支持他,110330585628,用户2329613180556
支持黄晓明，人家是有格局的。,51145914751,快乐的雪梨84e
就因为当国家灾情了，人家冲前峰，他就值,4884963918,103你随便
之前看他神雕侠侣的时候，觉得有点夸张，有点过。但是现在他已经不再是奶油小生，能够担当这个责任了,95561876125,阆中嘉陵
实至名归，可以可以！,56088917382,大丫儿123
支持黄晓明[鼓掌][鼓掌][鼓掌],6923641573,手机用户6923641573
70后的我见证了黄晓明的成长，可以胜任！黑子太多,4402771938,绝刀40094682
这个圈子里黄晓明算不错的了,93408579364,还有什么能记得或忘记
正能量满满的小明[赞][赞][赞],1737655789039951,上进的柳叶q
德才兼备，以徳为先，这几位还是让人信服的,104280774433,沧海之一粒粟
内地一直坚持做慈善的是黄晓明，有我们熟知的陈道明，黄渤，吴京吗？就冲这我支持黄晓明当副主席。,8986311749,梅子132529686
就凭黄晓明每次有灾难时都捐款或捐物！我就力挺黄晓明！黄晓明有责任有担当！有爱心！,52378345986,何同学DH
我还觉得黄晓明人品可以,14762387230,美丽心情167875283
穿鞋还内增高，1米7长高1米8极度不自信,50939013102,英杰156104110
你都说的不对，是因为接近1米八身高的优势,51968618890,弘拳搏击俱乐部
没什么坏名声！公益也挺好，感觉人品没问题！还有佟大为，都挺好！,206323311194524,范二哥！
就问副主席能捞多少油水？黄晓明的作品平平罢了，没参加综艺基本上没存在感,102416521074,魔法VCVC
当影协主席，必须人品优秀，,6113731252,menglilaocun
他算是娱乐圈清流了,100430146953,五梦七相
不管网络怎么喷他，演技，身高，这都阻挡不了什么，我相信我的直觉，他品行端正就可以了,57668852215,平凡又不甘平庸的人
黄晓明样样都好，就是找的对象都不怎么令人满意，花钱多，奢侈。,69695298111,顽强河流x6m
资本的力量体现。,109538854017,人间三郎神905313
实至名归！,103189683933,邓骥伏
因为讨厌杨颖而希望小明哥越来越好，使劲好,91782642061,宗旨66
每一次大灾大难捐款捐物就没看见黄晓明落下过，是每一次,101526174299,儒雅湖泊nC
别拼演技，晓明哥公益第一时间捐物资捐钱,53343298526,爱萱宝的芸朵
能进入中国影协的，前提是必须要有爱国心！！！别忘了，这是中国影协！,3979854083793470,一厘空间
自从跟Ab离婚后风评好很多，路转粉了,2044739941047262,高贵湖泊Xi
除了黄，就没其他德艺双馨的艺人？可叹,92546300156,youthbo
有钱人的游戏而已,3228639200814430,蒲菜
支持[赞]只要有正能量有优秀作品的人就是有德有能。所有质疑他的人，自己还不知道有几斤几两呢，有什么资格跨行业、跨区域去指手画脚，你懂专业吗？,342641114884923,直率帆船n9
黄晓明很正能量 国家有难时 走在前面 而且还是大手笔 人品也好,54846304085,幸运海燕Ov0
三观正的人,2925813240,高级黑瓜
从来不觉得小明帅气,5420935767,周哥53591123
心善人美，有德有才有担当，正能量的晓明[赞][赞][赞][比心][比心][比心],105622051246,聪明的天空vsc
人还不错，对家乡对朋友跟够意思,73507621426,gelaxy
他确实有这个分量,98023268399,用户2589867930353
黄晓明演技真的很好[赞][赞][赞],66692257605,亲切山雀JsG
黄晓明没问题，说实话过了这么多年才发现这小子真心不错，不装，也挺爷们。,16021950456,路晓木
不喜欢娱乐圈，这个人感觉一直都还不错，比较正能量[赞],941622121478942,醉梦江南
这不仅是头衔，还有责任,3186496374,静官
黄晓明的爱心和人品、作品足以胜任这个职位！[赞][赞][赞][赞][赞][赞],659311408198344,红星还在
你是评委，你说他实至名归就是实至名归。,92010128999,南塔塔
黄的演技还是有的,2923766193,阿里扎o7F1
除了找老婆的水平不行，其他都很好的小伙子！,111090871207,晋哥85888
黄晓明绝对能胜任这工作！因为黄晓明三观正！支持，支持！这不是拼演技，品德更重要,980390453717182,清闲的雪碧0L
德艺双馨[赞]没毛病,111123427104,王晓军WXJ
只要哪里出现灾情，黄晓明都会在第一时间捐献财物，他这人品可以说是在演艺界数一数二的，懂得感恩回馈社会，这才是真正的好演员！他被选副主席是当之无愧的！,102749238447,用户9029509188908
黄𣇈善良正直诚信友善！热衷慈善事业大爱无疆！是娱乐圈中的佼佼者！国家有难冲峰在前！祝帅哥🤵‍♂️黄𣇈明好人一生平安幸福☺️！,5786361018,老强的妈妈
闹太套人品确实没问题[玫瑰][玫瑰],110447030743,风陵渡
仪态万方，风韵犹存[赞][赞],6225438549,亲切麻酱y9
演技也夸 显得其它的也都很可疑,3790758436682605,凌云小鱼
见解独到,50050703020,BYD亚洲销售总经理
他最起码没啥黑料吧,245928661356445,兔斯基AWD
自从跟杨颖离婚后，生活事业蒸蒸日上啊,3067588722,偶是凉粉
他这个年龄段的他全是比较合格的啦！,1604907243681484,文刀俊斐
不管怎么黑晓明，这么多年没有绯闻。慢满满的正能量。,1099128171925198,多才湖泊kKu
前妻不错透露一下身家,2959103482,LightMyFire
当年的疫苗股票案,93519623665,逝去风云
黄晓明演员品质最好。每次国家有灾情，他都第一时间出现。难道这就是人品不好吗？[捂脸],3825909041726926,qq
没有移民，孩子没在国外出生，没有吸毒，没有打擦边球，没有任何对国家不好的言论，没有听说欺负新人，没有嫖娼丑闻，请问还要怎样？,3579645143026023,二哥满
黄晓明还是不错的[灵光一闪],2924905883,元气面条r
黄晓明不配做副主席，我也有同感[呲牙],4120048105,李骜
黄晓明很优秀，但要说资历，比他厉害的还是很多,2933116712002888,幸运高山5e1
接触过很多山东人，对山东人有好感，孔孟之乡，懂人情世故，做事有章法靠谱。,102038000428,华宇法律
从大汉天子开始关注！支持晓明哥！一个演员选对合适的剧本很重要！就像我们普通人选对人生的道路一样。运气决定上限,77925364511,山田小农
支持黄晓明。他完全有能力胜任这个职务。,4397681562091639,看客268
🐲一起迎接龙年,263472178798292,乐天派扑克th
还可以，山东人吧，,87588210372,云行雨施园
他除了身高，头发，尺寸作假，其他应该都是真的,110474378591,Amankila
人特别好，别演霸道总裁就行，哈哈,2735230442569389,用户7040715993492
不应该质疑，小明有爱心，反倒是没有型的怎么会事,2321757780579485,用户2037746270694
人品是没什么问题的,108154351963,铁血漩涡过尔
哈哈哈，应该是会演戏[呲牙],2078532996706030,内蒙古甄选
黄晓明人帅、心善、正能量满满！是所有演艺工作者的榜样[赞],59879377955,向阳扇
🐲一起迎接龙年,105797794924,用户3435690429723
虽然黄晓明演技算不上顶尖，但是最起码也不差好吧。支持黄晓明,4492761730,夜风搁浅
人品很好的,52940405289,牛羊一群12
他要不行，关键是谁比他行？你说说说我听听。,3219847922332575,荣辱不惊
他演技不行，人缘倒挺好。,4073044276686171,acc34990
支持黄晓明[赞][赞],3109056039623117,顶级花猫QS
关键是善于经营。钱厚啊！,51045063667,霸气妞的爸之鸡汤有毒
离婚后事业明显上升了,61270500962,接化发luiO
突然发现评论的人都是清醒的[呲牙],23227802954,抱抱那个无助的自己
国家灾难面前，他总是首当其冲，捐款捐物,1802791139158892,生活要开心乐呵
他是个好人！,1204706574609805,大雨一直下嗨
没毛病，又帅又年轻,4385858956,咸菜豆腐侠客
论演技，圈里比他演技更好的人很多，但论副主席，我个人认为他绝对胜任,131566044986359,鱼跃北溟
善事，演技，人品,109995643678,端庄钢笔RZ
知道自己是中国人知道中国人哪些事该干哪些事不该干。,4261358808335848,乔炳月
还行啊，本身三观正，没什么负面新闻,22613203724,济南章丘郭老师
晓明做到了该做的了,5766173581,快乐煜儿
我想知道，baby后悔嘛[捂脸],75941787851,开石记k姐
当之无愧,50358374578,奋发柳叶Wi
正能量的演员,87425645503,自由的柳叶vR
演技最大特点演什么都是黄晓明！,7682133035,汉烈雄风
正能量！支持黄晓明！,3567425100,BB姥爷
他是不是操纵股市被罚钱那个？,59669614204,喜欢黎子雾
男明星，一线的，无绯闻的,105064226495,65夺冠
靠人品他也配得上这个位置,68175573156,沧海一粟seR
本来就应该支持黄晓明这样三观正，有作品，有担当。在国家有灾难时，尽了一个艺人，国家有难，匹夫有责的力量[赞][赞][赞]支持，支持，支持……,106146608328,女之茂兮
挺你,1310207845075508,木子191413
很优秀[赞][赞][赞],5836488646,评茶师黄晓明
小明和小红，都上小学课本了，还不行吗[捂脸],104604838008,喝酒难受还享受
黄晓明心地善良，人品好！每次在灾难面前，捐款、捐物走在前面，是个三观正的影视人物。[赞][赞][赞][玫瑰][玫瑰][玫瑰],3338565157395981,红星
主要是现在黄晓明成老板了，投资商了，不只是演员了。演员受制于人，老板管演员,3131875551609635,文艺杰西6c9
三观正，公益事业不遗余力。必须支持,6804342497,人海亦孤鸿
坚决支持,1170320603483803,睿智光束wK
还蛮喜欢他的，看面相就是个温暖的人[玫瑰],58205394201,2022年学会了游泳
人品不错，每次国家有事小明都很积极,5774164614,梦64233821
人人都喜欢小明那里有大难他笫一个捐款永远支他[比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][赞][赞][赞][赞][赞][赞],329448291044323,有趣的饺子lg
晓明除了选老婆的眼光差点，其他都好！应该能胜任这个工作,52564270621,诗意豆浆7j
唱而优则演，演而优则仕，果然，都是这个路数。,111111780286,慕容碧剑
小明不能喷，他够格,96539965047,背对地狱
支持黄晓明，他正直，善良，坚持做公益[赞][赞][赞],101932972481,聪明的白云4kF
走的都是正道，这就非常不容易了,5844641607,好意多67868996
支持支持！,59648869489,用户52406842412
人品好，公益事业做得好[赞],74598273874,清新书签8S0
已经比好多人强多了，他演技可能还不能说多好，但人品还是有保障的,2985886484014488,偏安一隅的井底之蛙
人品是不错的,3617063275,大刺近神囧
晓明哥最棒，支持[赞],4643675543,青橙爱柠檬
中生代里有望成为天王巨星的不二人选，成为影协副主席实至名归。,2076332970999816,走出Ca的人
黄晓明德艺双馨，实至名归,10042779659,山水花明
