快讯！外媒：俄乌冲突爆发两周年之际，俄防长赴前线视察部队
一句话：为俄罗斯勇于挑战世界霸权的坚强决心和顽强斗志：点赞！[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],1129938611343757,大皖孤者何惧,"[['破坏世界和平俄罗斯，抢土地胜利，世界早乱了，又要回到中世纪了', 2550522178701207, '李大礼关注'], ['与世界为敌与正义为敌很光荣？', 2084305348594976, '好运锦鲤哥'], 2]"
应该说是俄罗斯防长未经乌克兰批准，非法入境乌克兰东部城市！,1389383952116904,事实求是学历史,"[['胜利的一方是不受指责的，苏联红军攻入柏林，难道需要希特勒的同意吗？', 4108244707455261, '德哥暖阳'], ['日寇攻陷南京，不需要中国人民同意？', 1389383952116904, '事实求是学历史'], ['这两个一样？中国和德国一样是吧？', 105172422422, '双鱼羊羽'], ['为合法做前期准备', 2891856724, '十呆'], ['可能还要非法进入基辅和议会，随后就合法了。', 106026811880, '卧龙—龙在天涯'], ['发通缉令', 1693670477405219, '今天生意特别好'], 6]"
特别军事行动2年了，，今年能见证分晓吗？,4463614378384909,一往无前梦想sg,"[['估计在俄总统下一屆任期末结束！', 55231057096, '手机用户心情愉快TkPn'], 1]"
,1420221979830268,闲着也是闲着也是闲着
反正中国是不会打这么久的，我们的原则就是不管牺牲多少人我们都会快准恨，而且我们都是愿意捍卫祖国安全死都不怕的人，所以我们人人都是祖国安全的捍卫者,12651088032,手机用户12651088032
未经批准入境乌克兰领土，应该去海牙比较合适,2084305348594976,好运锦鲤哥
支持一切反帝反霸[赞],4081273453,慢慢来悠悠
乌克兰上老美当了,60052734133,正能量山丘IQ
什么叫西方拱火？,5756832682,ERIC65
俄罗斯和美西方都不会认输，俄乌战事还会继续下去，最惨的还是乌克兰,4023809608253531,活力橙
特别军事行动，没有停下来的迹象。,888010153136327,永大英语
送胶合板将军去见微笑男孩吧,80430361624,网宣铁军
恭喜这场1小时22分零两年的闪电战[撒花][撒花][撒花],2260190354486180,狼之眼光,"[['“1小时22分”是美国给俄罗斯限定的时间。俄军从没承诺打多长时间。', 1645325915796093, '一笑'], 1]"
支持普京和俄罗斯，早日战胜美国,2273432400037596,顶级海浪VOX
这场仗打起来就是乌克兰领导人的失败。,94648948533,Timothy華847
乌克兰必胜,5746754912,zhq0632,"[['乌克兰加油[赞][赞][赞][赞][赞][赞]', 62484890547, '睿智的曲径通幽'], ['胜个头。', 2792365535800909, '风姿卓越熊猫uj5'], ['必剩一个人', 102168370173, '自在轮船fW'], 3]"
朝鲜的导弹和炮弹全用在俄乌战场上了,109684508922,DAI爱戴
被简中网宣布死亡了好几次[捂脸],75936544930,西游糖三角
哼哈二将，缺一个[捂脸],80543224844,巫山伴沧海
