"飞燕说：这是一位经过湖北某高速公路的司机拍摄的画面：一名当地人拿着一块写着‘米饭20’的牌子。

我不知道这位司机把这视频发出来的目的是什么。
我觉得可以卖点汽油,62423051230,快乐217782750
明码标价，良心商家,50085604127,兰飞舟
这很正常，吃饭给钱，明码标价，有错吗？错是你遇着天灾了。,52759296258,小狮子140680981
没毛病[赞],3184615376566717,风趣梦想fz
很多人学的便宜越叫，,5515045245,入门中医1108
明码标价，而且价格比很多服务区的店铺都要便宜啊！,5259244119,距离十万光年
不能只跟慈善比较！非常时间，非常地点，他们来有偿服务，只要价格基本合理，也是善莫大焉！,57120896645,新天地151630335
市场上盒饭20也没毛病啊，大冷天有口热饭你就谢谢菩萨保佑吧。,3087844489830171,独孤求醊
五十我也愿意，只要你明码标价 不要套路 吃不起我就不吃了,86996065956,绿水长流954
给我20我都懒得冰天雪地去给你送。能花20就买到热饭，你应该感到庆幸才对。要你五十也不多。20很良心了。如果这类照片，视频的卖饭人被网暴，如果以后再堵高速上，而没有人再去卖饭时，都饿着就行了。没人有义务免费给你提供任何服务。,52365361996,西门钜锟
人家买泡面不要钱吗？在大雪天寒风里卖点怎么就不能收费。他们是被困 不是贫困,63964280771,心如到
比服务区的自助餐，拉面便宜。,1152753431219871,睿智溪流rL
子贡赎人，子路受牛！古人都懂得的道理,52433646638,寒江独钓客
这张照片真实接地气！有偿服务,110397874081,卧龙华山
可能他想吃免费的,92558090168,zqm5755
如果是我，爱吃不吃，爱买不买[捂脸]买卖自由[比心],5450685392,UncleNextDoor
荒郊野外，寒冷，饥饿，跟20比一下,4419678484566587,凡人的故事汇
现在的正能量要求雪中送炭，无偿奉献，你要是好收钱那就是十恶不赦！！！！这都是啥风气！！！,166736504556744,才思敏捷钢笔HT
良心价,2810810631210910,智勇双全饺子Fu
良心价格[赞],66535695208,守拙水彩
建议你看谁蹲下去了，趁热乎。[呲牙],4040468459,赢妖
真不知道有什么好反对的，高铁上30块钱都吃不到，这天寒地冻的，人家还得免费送？,6829678528,孤狼114434191
服务区更贵你还不是吃了,103285734218,深蓝84471
有点意思,3720357480506616,用户3104414542140
没有卫生许可，经营许可，食品许可，罚啦～,104781849832,三体四维
饿慌了，两百都有人买,110354152304,紫尘985
米饭20真不贵,6402835327,勇往直前的辰星Nw
现在物价贵，天寒地冻，能有人给做吃的，已经不错了，人家凭什么给你免费吃，你嫌贵可以不买！,1807215643334764,善良就是信用卡
比高铁上的便宜点吧！,1962002826927534,不懂车的人就是我
没毛病！,75970839589,夜郎老鬼忆江南
给你吃饭就不错了，你到洗脚地方消费水平那么高也愿意，救你不要成本吗？,3866336051081357,胖哥哥哥
问题是路边的村民都是穷人，开私家车上高速的是有钱人，要穷人掏钱请有钱人吃饭吗？[炸弹],882241257868336,不凡的试金石
饿着他就是了！没人欠你的，为什么免费？[捂脸],97480576436,雅然576
[赞],1648911336877571,小胖的历史笔记
抽一包软云烟25元，一碗饭半斤20贵吗，在这种天寒地冻前不着村后不着店的非常时期，有人将饭煮好送到你面前，我觉得这位大哥做得己经够好了，既没敲你的竹杠也没欺骗你，明码标价。你愿抽一包烟呢还是愿吃半斤热腾腾饭菜？自己选择大哥又没强买强卖。新农合380元每年涨30元，医院还嫌涨得少嘞。,805279424850543,德才兼备葡萄Ye
一套房子榨干三代人，老百姓冰天雪地20元一碗饭他们这个那个,3606023380666979,上进的认真的
山顶上面卖再贵也没说什么，这怎么就有问题了？,104311588810,复兴之家
一个愿打一个愿挨！明码标价！他有错吗？我们钓鱼别人送饭二十五块钱一份！,54460230171,平安是福147461609
可以不买啊，没有强制消费吧,5484429501,一瞬间沧桑
想要续命的饭食，就不要说三道四了[捂脸],3377300211243133,端庄优雅橘子IT
都是辛苦钱，免费午餐哪儿有？,54606417009,驿马流星1
200也不贵,57695620123,率性而行7
20是良心价了,3222034260440567,用户9618202338409
这么冷的天，你去喝杯奶茶都不止这个价钱。,60817518019,大音无声2020
火车上卖50怎么不说……,8308315672,这样婶儿滴
人在又冷又饿的冬天，能吃上热呼饭已经很不错，有的老百姓踏着雪走上几里地真不容易，卖饭的服务费而已，到了服务站也不是都是免费的,64494237095,茉莉花开正当时
疯狂比心,50492798251,秋之海江SH
50都不贵，要命要紧,94146964358,小人物的梦想家
想一想服务区吧,5964070217,ST阿牛
央视报道，高速两侧的老百姓免费送给堵在高速公路上的客人方便面和热水，鸡蛋。,54349599002,智慧的秋歌
这已经是雪中送炭了,100585304547,瓜瓜翠衣
要是买米饭送开水能接受,111607659297,江南薰
别说是大风雪天了，就是平常风和日丽 大老远跑来做个生意，你也不能免单呀。况且又这么冷的天儿，小伙儿聪明抓住了商机,294280402334043,非凡海燕18A
20元，也不贵，只要有的卖！,6213333665,小市民
天寒地冻30快我都七,6433543833,乐天派旭日2M7
火车上一份米饭多钱？,21362465151,诗意生活家Pg
20元？我真心感觉老板在做慈善[呲牙][呲牙]！如果是我，直接50元。这样的天气，拿这么多东西走这么远，不赚钱，你把我当慈善家[抠鼻]！,92657857529,阿手的生活
没毛病啊,50987926953,lll0769
没毛病，点赞。,3734380284228525,小胖哥
比高铁机场强,2476538885309470,敏锐乔伊斯4i1
天寒地冻这价格过于便宜，嫌贵的可以吃备胎。,5490224575,daye东
没有强迫你买，老人没做错什么！,3501489636,知识亿事通
真冷，这价格贵吗？,85195691394,小叮当
是啊，公道价格，比火车上便宜,575786182519832,我的乌龟小土豆
如果是河南又得很多人开喷了[流泪],97125242525,眰恦
良心价格,334666066305997,豁达雪碧ma
收费很正常 凭什么白给你 你封在高速上又不是人家造成的 人家在哪卖不是卖,6924860088,有你才不會孤單
有得吃都不错了，农民也不容。,5350350467,66大顺A
我们去钓鱼，盒饭都是二十！这么大雪还是二十？老爷子太不会做生意了……,531800379108408,最爱看留言
高铁一份快餐也要买这几份！,2379759943956957,用户7139957962795
都是农民免费是情分不免费是本分，收费了才能吃的心安理得，冒雪过来卖而且不是天价，合理的价格，他家米也是花钱买的。,92472414721,LucKY焕然一新
支持，免费的东西永不长久，只要合理收费都可以,2016961174451641,木子汽修
良心价、,8239760639,向日葵5699
有些人就是矫情见不得老乡挣个幸苦钱，皮带哥那么赚他们的钱，他们屁都不放,1191476750984861,沧浪有话说
发出来的这位，占便宜占习惯了，占不到就是别人不好,59511544541,对勒就是咨家
绝了绝了,14215114021,亮哥157824062
有饭吃就不错了，还嫌贵？[打脸],57767094721,直爽的太行山
没有问题,4146963070063918,博学清泉Pt
现在这种利益社会，你喜欢打着免费其实收费还是喜欢明码标价的,562566917785256,淡泊的书签O6z
应该收费，老百姓自己家里的，现在那个企业会给你免费吃饭呢,162379408093358,用户1766197135921
能赚点钱才有更多人来卖饭,4485433572,叶落42172282
有的吃就不错了，这有什么好争议的,3403549983,飞蓬14362102
火车上，服务区，机场都可以贵，老百姓顶着大雪送嘴边20还嫌太贵[what]。,105131933946,木子周三下午
有吃已经很不错了,3971042986690691,用户2055827390805
生死之间，吃能活，不吃死，你还会在乎20元吗？明码标价，货真价实，冰天雪地送来吃的，是我的话将非常感激,5347425735,风轻轻的吹
也不容易！！！[鼓掌][鼓掌],4490788041,发现生活的枫子
口是心非,109065329997,Liao606
高铁：盒饭四十冰天雪地：米饭二十[吐血],3729812777,ffedfxgh
没毛病，一点都不贵，都是辛苦赚钱,1614500921609439,随性自由的小红花1Lm
这不比机场的便宜？,1939164721064611,槐豆
高速路边的大都是农民，农民不差谁的，为什么不能收钱？只要不离谱。,96129931392,黑桃321
河南免费,690145617772647,幽默马王爷
机场的面80一碗！[吃瓜群众][吃瓜群众][吃瓜群众],1772016305188979,大白菜皮
在这种环境下，不要说是20元，就算是200元也不贵，因为没有食物，你就得死，钱一旦离开了人，它就是一张废纸，甚至可以说它啥也不是。[灵光一闪][灵光一闪],6037258370,海岛权哥
钱多的可以不吃,654941880322398,顶级山雀8s3
一杯奶茶18，真难喝！,5967424548,念恋故乡
点赞这位卖饭的。,6862266161,云中漫步116066116
100元一份我也不出去，天寒地冻的，有人给你供应还不识好歹，饿你一天两天，你连叶子菜都偿一口，还嫌饭贵,75928100049,王金娜113
无可厚非,77246650392,正义凛然明镜JR
这要是放在河南，极目君能整个天翻地覆[我想静静][我想静静][我想静静],104816274556,活泼海燕y2
20块钱不贵，只要饿不死还能再挣。要是你困在深山老林里就知道多珍贵。,3051883120042455,风趣旭日uT
我要5份,52519008508,立夏123456
有些人总想让社会要求给你这个，给你那个，你没想想你到底为社会贡献了什么？,92875854349,车风啸
我觉得要钱和不要钱都一样，要平等看待，现在大家都不容易，不要钱的，想奉献自己的爱心，要钱的自己过的可能确实不是很好，但是也是给大家提供了帮助，那么冷的天，要是你你去吗？换位思考一下，只要是不太离谱，不做伤天害理的事就行了[祈祷][祈祷][祈祷],66648809141,多才苹果To
在有些服务区吃一捅泡面还要30元！这二十不贵！良心价！,94210638437,乐天派昙花一现
真不贵，高铁盒饭五十还不好吃,3522466771637310,用户6193014988795
想想高铁上飞机上的盒饭吧！！嫌贵可以不买没有人逼你买。,65231838952,钓鱼W岛
没毛病，这大冷天，能送来吃的已经不错了,96160287157,好奇石榴0C
只要收费合理就可以。,109784930426,AA上海全印通印刷
适当贵点也可以,63368786105,深海淡水鱼K
我觉得应该卖2000，爱吃不吃,3721190785162560,带刺的狼YOYO
没人卖饭，饿得前胸贴后背，就是荷巴里有成千上万有个毛用。,109661164603,分秒必争宇宙Z0
一点都不贵，更不能免费,57475084647,心照不宣197325405
这大冷天的，有人拿热饭来卖都不错了，还讲究这些。,52517446837,天晴147312920
是20，不是200。这个都还赶不上景区价格,3522800095,nickluo
明码标价，价格还可以，也没宰客,111527986540,三喜678
抖音上看到都是免费的，我觉得不可思议，这么冷的天饭菜都有成本得，心想怎么可能，图什么？收费才是合理的买卖现象。,54299531960,千里马143279018
就这样的天气环境，有一口热的饭菜，别说20 、50我也吃……,85741054883,溪宁
谁也没义务来免费到高速路上送饭送菜。,6705368173,手机用户6705368173
中国人就是这个样，爱吃不吃，抱怨叫他换位思考！,67483722071,足智多谋高山u6
零几年的时候华山上的泡面就十几块一桶了,4684612804,包容一切46954492
火车上20元的饭有啥吃的？,109189952601,乖巧奶酪L1
无论20元，30元一桶面，一碗饭，在这天凉地冻地方，不贵。感谢村民雪中送碳。,1148368446308124,幽默生活家De
一个个好像有功劳似的，你自己在高速公路上回不去别人给你买东西有错吗？凭什么给你免费？,2972735573601360,乐观的熊猫dE
说贵的人可以不吃[呲牙]，在当下20元能吃饭的地方也有限[呲牙],6210151917,端庄铅笔7H
良心价。,99516449579,神秘奶茶xe
不容易不容易,51602936343,运动真男人
应该是盒饭20，能在回家路上堵塞时候吃口热的不错的,50238180052,套路太多了吧
说的好[赞][赞],97821943940,淡泊坦荡人生
隔三叉五下一次，每次都免费超不过三次就没人送了，在路上只有挨饿受冻，如冒着风雪把热饭水送过去，回报大于付出，这样司机游客就根本不会受饿,65612078912957,一丝不苟松鼠Nv
不贵了，都什么时候了还说贵？有卖的以经很人性化了，怕贵你们就去找当地政府部门？,1063924280594087,上进的金桔pP
商机无处不在,2493322073220247,清新帆船Sj
收费的才能保证每个人都能吃上。,1697275770314637,用户7414329411770
骨子里是看不起，所以觉得贵。你让他去米其林餐厅他觉得这是白菜价。,97917350665,幸运星辰lB
天寒地冻的，30都不贵,59375627094,活泼三只小土狗
心态不一样想法不一样，我感谢这个卖饭的好人,3685163782899960,勇者铁匠
卖两佰才好，吃不吃自愿，没得雷峰，，这个社会有钱就是哥，没钱连路边的狗都不会看你一眼，何况人,2845142298146540,高冷豆花ny
只要不强买强卖多少钱都不贵,6909343989,AD微卡
你们都能开车回去，就不能花十块20块买一份快餐吗？,63179600747,D736636311
不贵,106917322630,用户4959808305687
天下哪来免费的午餐,110567710582,松涧观瀑
转发了,108951736933,我亦飄零久
那些自私的人，才是见钱眼开，患[捂脸]难时候有人前来救助，难道非要免费的吗？,99701384477,观者1507
趁人之危，不厚道。10元以内可接受。,13740493985,清新小猫hH9
二十真不贵啊,3678028226,乘风破浪的溪流yJ
服务区三十五,4382874441,老男孩39688562
茅台价格怎么没人吐槽？,109557651292,铁头老韭菜
不贵！,59111964725,疯狂的迈达斯
免费送，那都是资本家，骗子们玩的一套，你还是别吃为好，省下二十元，够你抽一包烟。,59143202763,创意埃弗里7K0
我们好多的湖南大巴车都是开出高速公路去吃饭的，平时都是25元的快餐。大雪阻路的时候，20元的饭菜真不贵。,4023861646986404,正能量雪梨e
天寒地冻的，大家在车上能有热水喝，能有热饭吃，不太过分的价钱都能接受！有偿服务让更多人加入其中,4231471137,舍予心36102726
卖饭的经过检疫了没有,100314648115,用户547119517976
20是光米饭吗？还是米饭带着菜,92618453748,yoandgi
米饭20元其实它是有菜的吧，老百姓都会配菜一起的。,55878936864,上善若水4A7A
风雪之中都不容易，20块并不算黑，你需要就消费没有需要可以不买，但请不要用免费和高尚去绑架他人。,50041315823,行走的眼晴
这个钱人家能挣这么冷的天，你能吃口热饭都不错了，明码标价,66513788795,张公祠
写20很正常的，没钱的可以不买呀，自由买卖[赞],1143095698141677,淡泊的微风Dq
该是最可爱的人出动的时候了……,96379889665,乔尼699
有道理,377828515513072,用户4881108982750
还嫌这个贵啊[呲牙]别人站路边不冷啊,5801537117,炸雞勇者里諾艾
明码标价，公平交易，值得鼓励。,1666464844617597,jsdama8
可以了，美团平时跑腿也有5-6元，雨雪天这个跑腿费加食材算良心价了，武汉白菜都8元一斤，啥都涨价了，没有要50就算良心了,3711547487819360,东走西顾123412
高铁上20能吃上饭不？,3544429272240467,积极的天空Zr
我们大湖北这几天雪灾害了不少路人,4077340385,襄阳华哥
疯狂比心,3139802807674221,足智多谋苹果vo
确实，免费是政府和热心人士该做的事情，普通人这个价钱绝对是良心价,672529385790392,随遇而安有没有
08年一个蛋8块！经历过的都懂[捂脸],52987021661,孤陌ZWJ
这种人就想着人家免费送给他吃，他以为他是谁啊，,1640120870516583,潇洒雪梨81
良心价,24539807194,奋发有为橘子U
经济社会、这么冷的天、2 0元有什么利润呢？冷哇哇的要是我不会出去玩。饿死谁算谁。,1155409035,凤翼-天翔
火车上这个价格还不够，而且那米饭实难吃,3984255327142551,智者微风拂面
老百姓做事不偷不抢，正大光明！,91647831649,风吼雨萧
最起码不坑人,5517684426,小马58030776
比迪士尼里的 便宜,7013272147,德国三轮车
愿买愿卖没有毛病[呲牙],539215414690899,平平淡淡
不贵，有吃的就可以了，免费的东西，总有人的买单,108063099331,勇往直前AAAA
舍不得二十的那是不需要的人,91997988460088,一个认真的菠萝
机场了解一下,54276389419,鹭岛独狼
怎么了，起码人家挣的也是辛苦钱。,97290204623,极速水滴iCr
发国难财会有报应滴,242353696947406,我爱齐鲁258
有些人就是免费为他一桶泡面，他还嫌里面没有两鸡蛋，老想着去占别人便宜，一遇到天灾人祸就用道德绑架别人，某某没捐款啦！某某才捐了这么点儿啦，我就想问问，冰天雪地里20元的饭贵了吗？冻得鼻青脸肿给你送来，你咋没有多给10元20元？高铁上一份卖4、50元你不去投诉？[发怒],73068640681,变老的青春
转发了,4723112616,葡萄美酒夜光杯12
收费也没错[比心]支持价格合理[比心],1965577777198971,山东De老头
20元救一条命，还用换算么？,50338384932,ai之蕊
[赞][赞][赞][赞]20元真不贵,4217370090669476,进步宁南9u21
良心价[赞],1151923403096263,用户9675429421655
人家的米和面也是花钱买的，没必要免费，这么天寒地冻的适当的赚点辛苦费也正常吧。,60687812417,暖心516
怎么上高速的？不像高速哦,100328685531,温热的茶AP
良心价,103532947736,简单帆船kC
本来就没有免费的午餐嘛,109228197967,秋收8766
不愿意花钱就喝冷风吃雪吧！这样的情况能吃到热饭该有多幸福啊！,56158204089,青松1424125
就应该收费的，免得喂了白眼狼,5735155256,会飞的天使2018
真不贵,82629834173,风吹春池
明码标价就没问题,4238366114,1234京
20元太良心了，嫌贵别吃别人没强迫你买，正常20快歺也不贵哟，何况天寒地冻的，不要总昐别人免费，老百姓本身就是一般收入的，总免费他们也扛不住的，做人要讲良心，为这些地方的老百姓点赞！你们辛苦啦，祝你们平安吉祥，阖家幸福！,83000037957,唐英376
高铁上的快餐也要60,109124399405,用户7348022796952
跑那么远带来，再贵也得吃啊,98294868174,艺迷阳光
能送过去就很不错了。,10769729914,飞天51888
光明正大[赞],53224087721,青翠山岗
觉得贵，可以不吃啊！,110930387338,南山篱下
厉害厉害,3690419784517357,用户2080568033541
没毛病[赞][赞][赞],3971027427664827,武汉阳子逑
吃饭给钱很正常呀，你不饿可以不吃。难道非要别人送给你吃才合理吗？,72198090427,包谷粑粑888
良心价[赞],64931568689,独一无二的MrQiu
作为一个成年人都应该知道这世界上没有免费的东西。,68077287824,用户4242595782075
明码标价，童叟无欺，没毛病啊，爱买不买，不要说贵不贵,97723403599,西北晴天一片云
想吃白食明说，你给当地人有多少贡献。,9611439962,诗意春风b8
支持要钱的 便宜 不要道德绑架免费的,107909252912,晴空万里4343
吃钱吧，还嫌贵，大雪天给送上来就不错了,4828666054,手机用户4828666054
不知道除米饭有没有菜。光米饭20有点贵哈。不要求免费，加些青菜，弄一块红烧肉,69384944495,龙腾天下福临门
说得对,50755360336,开心多点5208
当他快饿死的时候，十万元一碗他也得抢着吃。这样的人不值得可怜。,6217124276,YoungorNever82555900
刚才还在议论，要我十元一个茶叶蛋去那个前不着村后不着店天寒地冻的鬼地方卖，我指定不去。但如果你果真那么卖了，难道不怕事后有人找你麻烦？[大金牙],817652336699607,调皮的狗尾草
马上大过年的这么冷，有人送饭来已经谢恩了，你们还嫌20元贵,50655853141,伟151086516
没有人卖他就晓得更恼火了[大笑],105320977213,正能量喜鹊Eu
很良心价了！这种天气，还冒着严寒送到车上,92758583561,通衢广陌深厚仁泽
心里有光的人见到的是生命之星。,2585640804552711,幸运葡萄wa
都不容易,3368556245037408,德才兼备柳叶FOg
美团跑腿费知道多少吗？我点个十二的汤粉到手20，一公里多[捂脸],54214007423,陌上浮尘飘四方
比火车上便宜,694497712015980,红肥绿瘦知多少
太过分了居然收钱，你应该点外卖啊，一样要收钱为什么不点外卖？,106020346604,霍苗107
在高速服务区吃一顿快餐也要35元的，20一点也不贵的,6829105610,直率蛋糕yY
这个如果换成河南人 你猜 你猜 你猜,6172759481,蜗牛赛老鳖
我建议卖100,2648044020183727,文艺凌海8R
见解独到,1653312776831535,用户7215795441544
换了我，路边挖坑遮挡搭茅厕，大便180，小便80，在别处随意大小便，直接铁掀拍脑袋！,111073517595,看烟火的那个晚上
艹！牛逼！,10969526862,不凡明镜Q0
好人啊别饿死人,103991295099,鸿鹄5466
可以选择吃钱[抠鼻][抠鼻][抠鼻]钢镚,57180584178,但求问心无愧A
所以我开长途后备箱的吃的都塞的满满的,62458470179,豁达海洋Jt
点个外卖也不止二十,5114802036,阿杜西西
反正高铁上现在没有20块钱的饭菜,3135433753502484,用户2801463984020
比高铁便宜多了，还想咋滴,3590720280,左轻侯19375178
天寒地冻，明码实价20元不贵，赚点辛苦钱真不易。,3872379204,子兴
吃就吃，觉得贵就不吃，放什么屁,67525478851,问道444444
感觉贵，你可以不吃,4148940771,LB冰汐
朴实无华的老农，本着关键时候做点本份生意，你们知道火车上的饭菜价格基本上都是知道的，火车上是什么环境，老农现在是在冰天雪地里想挣点年费，你愿意买一是解决温饱二是帮助老农解决年费用，两全其美，不买，老农也不差那点钱！,103904504853,优雅溪水1Ns
天寒地冻的没有吃的，如果有买的200一碗你都能买。知足吧。,104721562249,非凡扑克S1
天寒地冻的没有吃的，如果有买的200一碗你都能买。知足吧。,104721562249,非凡扑克S1
嫌贵别吃，人家又没强买强卖，辛苦钱,1398212005210640,卖笑不卖身
这么冷的天，20元又怎么啦，想吃免费的去找呀，说实话给2000放那里让我捡，我都嫌冷不愿出门，人家雪中送炭，20元太良心啦，那种人200都不给，不知感恩[捂脸],111069489412,胡胡随笔
虽然贵，但不要道德绑架,3087879529046731,北极下的火山
不服不行,105674686084,用户9502153891955
良心商家,2634053422418555,可靠荷叶AZY
二十都舍不得，说明还是不饿,6515606312,强强最棒
明码标价，价格也不是太离谱，一点毛病都没有！普通老百姓挣点钱不容易！难不成米饭免费、热水免费？若如此，他不会在家躺着都好，免得冒雪出来挣点钱还要给这些个道德圣母圣父指责！,4676834071,迷途书童
20一份可以的了，免费午餐吃的安心吗？,1609328408935180,相遇已遇
个个惯的，免费是情分，不免费无可非议,5136644963,首席特邀评论家
我都没说到点子上，高铁比这个贵多了，可以买三份到四份,4345691324286216,李李哥
[赞],1996342390173822,自强不息青山VH
白嫖惯了才会觉得不合理,4388839635294355,用户3176380224092
不贵呀！平常点个外卖都20-30元！！,347915129466302,清爽熊猫Ui
不建议免费，老百姓不容易。,93187006667,幽默白云kb
好吃不贵,1226662535502067,安静的熊猫fr
如果是我，我做肉的盖浇饭，30一份。份量让一个成年人吃饱的份量，加米，5元一份。咋啦，做生意有错。,22830326161,降龙弹棉花
冰天雪地里热乎乎的米饭套餐20元，真心不贵，那是救命的饭啊！,1794052712039288,牧童2818226218221
有人卖就不错了，没人卖饿死你！自己出行不看天气预报？,2685420920125944,多彩豆花Yxy
良心价，可以接受,111104892978,积极的咖啡Qy
不贵，生命在二十元面前还显贵的话，那真的什么都不是！,1903973301228158,6根本就清净
高铁上还35一份盒饭呢，这个有什么大惊小怪[大笑],95598189874,牛笑天172
有道理,84825676553,烈火青春136
高铁上的预制饭！！难吃的要死，还45,2243420197492763,新留香园
非常良心，这样的人多几个[赞][赞][赞],51262624545,野驴8
受益良多,57891812400,乘风破浪的清泉H5
正常的价格,70846710266,论文专著出版编辑
不贵，没有科技与狠活[赞],65505973514,降心为无为
良心价,1390243478247063,安逸风声Z
要吃就吃，不吃就不吃，没什么好拍的,135985044660126,龙之梦幻西游
我赞扬，这不是抗洪抗震！有的回老家有的去玩，都不容易还要免费吗？？？,1974341693344648,篮天大海1786863076
一针见血,4335338542,小白笑苍天
请问高铁🚄一路风雨无阻运行中 你买一份盒饭多少钱[机智] 应该要2.2元吧,1051608072588830,勇往直前的清风uH
"我觉得就不应该免费,只有适当收费才能发挥最大的互助效应。[笑][笑]",70093732551,LuckyStarTech
一点不贵。你可以不买,391050835016139,久佰
他还是点外卖吧？看看要多少钱,4560267023,URL了退咯哦哦
小心查你有没有食品安全许可证[呲牙],87792842889,用户2716815472205
这种挣钱的机遇并不多，看跟谁比，跟高铁和飞机上比，也没什么,52236385645,宋明52
现在的人，什么都想免费想疯了。,111062549766,与牛NIU共舞
火车上多少？,5114802036,阿杜西西
一语中的,106072915701,知情达理云朵la
这种环境下真心不贵，也许就救了一些人。,110522123412,乘风破浪的晚风vs
D2264车上一个预制菜也卖60呀！这个20也说贵，怎么想的，没得吃才高兴吧！做点小生意还不敢露面，怕你们了。,3169241059297854,肖
九牛一毛，就害怕掏钱也没人给你服务,492172417698879,温柔冉冉升起的阳光
这种情况下用钱能买到吃的贵吗？,6834892233,乱七八糟的0
一针见血,4393294800362493,智慧柳叶Ex
高速公路上停这么多车如果都免费吃百姓的，我看把祖坟卖了也不够。,98137591597,雨季刘龙
高铁50元盒饭没有见你去抗议,81795765255562,马德华为什么不行
这种环境应该表扬送温暖[赞]，去景区看看。。。,3478268254,江豆儿
服务成本比重居多,52747247408,啸臣29
火车上卖30，40的什么讲，,94412568789,愉悦的香瓜FX
看评论放心了，广大网友三观很正，我们就是让专家坑毁了，人民是好人民，至于谁是垃圾不方便说,980401956849678,神秘远山od
明码标价！想说什么？都免费送给你啊！看新闻联播吧你！,5436470726,自在大大小小
为什么人家适当的收点费，有的人就酸的牙都掉了！难道去饭店吃饭不掏钱吗！这种极端天气能有口热饭吃己经很好了！,73111405025,小崔41147
怎么没人骂高速上的服务区,975971259261816,潇洒溪流TB
20块，这算是做慈善了，想啥呢,2991107722708119,青涩海燕tG9
只要价格合理，没必要上纲上线。如果全部免费时间一长，底层老百姓也扛不住。,993547662919832,总是走在回家路上的人
老想着吃免费的午餐吗？你上班发财问过老农民的冷暖吗？,54564337315,北斗143817808
比比地服务区里的,3214620608693591,黄力士
这条件下，热乎乎的吃上一份，不贵。真的。,50007154277,火果火果
让帮助危难中的好人得到益处，这才是长久的。要求好人无私奉献，看到好人收点益处就口诛笔伐，那样是恶人,83583800845,积雪草帽
真的吃不上喝不上，可以报警呀！！,5608191386,黑帝嘿嘿帝Z
不贵不贵,6750209027,小磊汽修
高铁上60一份饭，好便宜[大笑],111175114970,果善
不贵，火车上的饭好吃吗？便宜吗？ 平时农村老百姓在城里打工也挣不了多少钱，现在赚点钱不行吗？,2000731361257459,交通微观者
说明他们暂时有救了,1644470272786492,用户6675214160186
这么冷的天 村民也不容易 这个可以理解 [祈祷],3962689289,愉悦的船帆1
明码标价，没毛病,3803166373,大冰哥ICE
我喝一杯奶茶10元,4565110500,顺心走
价值和价格是一回事？,1116740586578606,艾芯草
支持一下,76474987383,Lx911
这就是市场经济，物以稀为贵，没毛病,104915341844,用户3665260364371
不知宣传的免费有多大的供应量？其实这个时候有人送吃的喝的贵一点也是及时雨！,4995279621,山东烈马
视频用来招徕生意的[呲牙],60271229028,勇往直前的帆船5f5
大排档一顿饭还20呢 收你20多么？,93645236004,蓝巨人545
嫌贵就别吃， 唧唧歪歪个啥， 难道别人这么冷的天给你们送吃的喝的， 挣两个辛苦钱容易吗？,51400281787,好学雪梨NZ
2000元只要能救命。道德绑架，这么冷的天，你会不会出门。,96184198752,龙之启航
明码标价,59646581207,二哥58205959
草，服务区里比这贵多，份量还少。,2897902682252926,a风飞扬a
没问题！支持合理收取报酬,1596081333338446,你说我谁我就是X
你开着车，经济条件按理不会太差，让沿线农村人给你免费吃喝？不哄抬物价就是做善事了，要对得起自己的良心[机智],54905682046,谝个闲传
我想起了地震当天下午食堂卖咸菜:两元一两,3245665800,常威
不贵[赞][赞][赞],5400323585,梦幻安吉白茶
没毛病，难不成免费送？人心太踏马险恶了[发怒],100032846435,杨柳6061
算是一位良心人,4017770129,坦荡的风筝ST
不贵 比火车都便宜,103765603499,天空5043804438397
只要明码实价没什么说的。爱买就买别道德绑架,50445060825,住在西门的大官人
不贵，比高速服务区的饭菜良心多了[赞],71922603053,会打伞的魚
市场经济还道德绑架弱势群体，难道拾荒者捐资助学不是社会的耻辱吗？,1046347604039431,路安畅
是合法挣钱，我非常支持。不可随意提高道德标准，你想去免费送饭我们赞成但不能要求别人。,7579241487,开荒忙
到黄山山上一瓶500毫升矿泉水买15元一瓶，你怎么不喷，农民在这么恶劣天气下，天寒地冻的站在露天中拿点食品来方便大家，虽价格贵了点，但一天下来也赚不了多少，但是这种奉献与吃苦精神几个人能做到？,52216961720,热情天空v9
这种人应该收他两百,55606365012,农民胡润林
二十元还没有官方的服务区贵！,53442382538,外sos
可以合理收费,95046423992,隔壁的老司基
嫌贵就骂高速吧，老百姓是好的,4666662987,一名扫地憎
20元可以,3416902977203668,善良饼干GF
这天气闹的有钱没处花，钱能吃吗？,342650907002926,8天长地久8
凭啥免费送？,2827542703116876,龙行天下hdj
不要钱不好意思吃总感觉欠人家的，热呼大米饭最好来点豆腐汤，这么冷的天站在雪地里你好意思不给钱，三天以后200块钱一碗你都点求求你了给我点吃的吧。,5871579989,阴阳快递天堂使者
没超过高铁平时的饭菜价位。,3118639292353787,家国天下
雪中送炭，支持。嫌贵可以不吃。,3504893312903419,聪慧宇宙F0
别喷。20可以的。有卖饭的比拿钱买不到好。,53499572696,行者159861811
20我可以接受,104115566265,令狐少虾473
风和日丽的天去钓鱼饭也是20一份呢。,382264361624980,用户8294095439111
你找个跑腿20元给你送过来，看看有人送吗,110293198313,新星汽修130
嫌贵？让高速收费站给你送饭啊,101120036645,高山遛大川
正能量,6505150384,粥92949296
