"见微知著：在高速上过夜的小朋友，当时车在零下三度，下着冻雨，动弹不得。
油车还可以开空调，80%以上油的话，顶两三天，问题不大，半箱油，也能顶一天半。
看了头条一堆没电车的人，在说堵车电车开空调自求多福，[捂脸]，其实你们真的不懂，电车不怕开空调，也不怕堵车，最怕是超过120时速以上的驾驶行为，比亚迪热泵空调了解下，其实堵车还是多担心下油车开空调。,53553773274,一起骑着毛驴环游世界
各有各的好处，油车省电，电车省油[灵光一闪],1047151560362496,老紫G蜀道山
这种情况，增程车就是王者,63404526081,神一样的男人AAAA
现在电车基本上80度电，按你说的80%剩余，就是64度电，你是怎么觉得电车熬不过去的？,6715933871,MOTOMOTO108139076
等我以后有钱了！我一定要设计一辆这样的车,93015207137,摩托车游钓中国
看新闻啊，最近 两天高速上被拖走的车都是电车，其他的咱啥也不说了好吗？[黑线][黑线],60981837656,99BB99
低温电车就跑300，出远门还得油车,105457254670,翟过
开电车的，买两条电热毯，非常好用！一个晚上也用不了几度电！还没有一氧化碳中毒的危险！,3171440218351550,一点点就很重
这场大雪，电车老板关注着呢？能否顺利通过统一大考？,6497979190,Kapple45
何必呢，吵来吵去的，油车也好，电车也好，祝你们旅途愉快就是了。,59483779215,tuxj007
[大笑][大笑][大笑]哈哈我的一千六百升的油箱，外挂柴油发电机，随便堵车都不怕,5790932248,爬下我来
不管油车还是电车，希望都能平安回家过年,52398035400,老狐狸传奇
这方面油车干不过电车，油车要着发动机。,104093593028,课代表
太好笑，什么车都不如我躺床上睡觉舒服[捂脸],3096666085261887,干饭人
增程才是王道，增程器开着取暖，动力给电池充电，一点不浪费,80963832235,哲081030
电车开空调不费什么电，但是你不跑了吗？低温⬇️续航减少，跑起来电就咔咔掉。,7021199048,自在的智勇双全小红花
油车开一晚空调，人都不用起来了，直接中毒死亡,3871182941,幸福糯米zNV
电车开暖风最费电[泪奔]油车还是更适合春运和恶劣天气！高铁都要请求绿皮大爷出战还有什么可说的[大笑],5956650220,无病第一利
电车才是王道，可以坐在拖车上无人驾驶[比心],94753824810,BAILONG762
都是四个轮子的电瓶车，挂牌子的叫新能源，不挂牌的叫老头乐。,2088703193518781,用户7383540177031
电车才是王道，只要不是零下十几度,5917695308,上进奶酪BOY
别的电车我不知道，我特斯拉标续60度电池、0度左右开21度，打开露营模式、一小时掉7公里左右续航，满电坚持60个小时左右、40%电可以坚持24小时，,105068515367,怀揣梦想的小东东
省钱呀！,13804287157,好雨知时节yjy
没摸过电车的人才会这么认为，这种情况电车更舒服一点,4274021796,真诚微笑着
中国人对家的执念真的是刻在DNA里的,4585056309,AK门徒
油车开空调不走的话不是很容易一氧化碳中毒吗,3536473847760270,顺其自然的罗罗
BYD混动美滋滋,94714338231,浮萍82102
杠的好多，直接先说结论，堵车电车更舒服，持续时间更久，主要原因是电车主要能耗是快速行驶过程中比较费电，原地不动或者龟速前进的话起码可以坚持五天以上，举个例子：常见的500+续航的车(低于这个续航上高速纯找罪，不讨论），开空调一晚上10小时掉续航30公里左右，一天24小时掉60公里左右，即使实际续航只有400，也足够支撑5天。油车怠速开空调一小时要废1升油左右，3天就要72升了，即使90升油箱也撑不到四天，而且不太舒服,6843049688,木四水云
电车不动更耐耗。,2484539875397432,我是谁在哪想干什么
空调其实没有想象得那么费电，一晚上用不了多少,63474814278,二水小河马
温度这么低，电池能正常工作吗？,3562017154929752,小肥肥芝麻
油车制热完全就是把发动机的热量输送到车里，也就是开制热本身并不多消耗汽油，行驶过程中你不开空调，也是消耗那么多汽油，相对来说，冬天油车优势确实很明显，如果是短距离代步上班，经常用车，电车更经济实惠,57697736657,雨后的莱芒湖畔
一看就是没开过电车的，这么讲吧，半箱电一般40度左右，带动这么狭小的空间空调三五天都没问题的,110332125347,匆匆行人
总是有人哪极限评价一个东西的好坏。钱是人家的，你管人家买啥车。啥东西都没有完美的。,2848076626,老老白茶
高铁新能源很让人揪心异常天气绝非偶发还会有隔三差五都经历一次吗,5870234222,蓝调咖啡69464201
大家千万别买电车,108691996658,88888888都挺好
妙笔生花,72732686278,622190
这么塞车 油车容易一氧化碳中毒 电车舒服了[大笑],1890760113790736,真理让人不迷茫
家长真是不负责……出门不看天气预报吗,2673652981832256,怀揣梦想的哈喽
零下5度，我100度的电池开空调20度，一晚上用10度电左右,3633701868,隔壁司机老王
零下三度，电池衰减可以忽略不计的，坚持时间可能比有车还强悍，如果零下十几度，油车的优势就出来了,2752796050334685,柿子酱Kaki
怠速一小时也就一升油满箱，两天没问题，,16946446140,ljyandlyx
所以说增程式的最好用,65782893398,渣渣聪大人
电车+柴暖是不是会好很多,110689457100,仁爱溪水yT
天气预报不准吗？,2787972735842445,啦啦啦嗯啦北
神龙组队马上满人，抖音扫码加入队伍,110316934877,A是琪琪啊
电车就热天开车爽省油钱，到冬天哪怕新车想跑远一点都难，中途充电。个人觉得还是燃油车更胜一等。[赞],2792385889178771,用户Syr地平线
这个不让动直接是让人无法理解，每隔五分钟放几辆车走不行吗，让他们拉开距离，保持车距，最近下车点驶离高速，不好吗,3579606941307933,木方Neng
电车最省油，油车最省电，不接受反驳。,53279757737,G骑着蜗牛追火箭
唉，受苦了，希望早日脱困,81181155812,浴火凤凰83884
电车静止开空调能耗更低[捂脸],5426929201,百川ru海
要想普及电车遇特殊情况必须把服务跟上,5759482192,不凡小红花k
油车，电车，只开空调，那个撑得久？,75191381405263,LF-DevJourney
为什么非要贬低电车呢？各有各的好，不然电车也不会卖那么多，都不傻,55090954747,晨曦中的蜗牛1
電車開暖風設置25度一夜8小時電池損耗電在室外溫度相差下大致8%-12%之間。請參考,1726700510251859,上进的小猫zon
电车在堵车的时候电最耐用，yeah,1737685190058203,河西走琅
你错了，电车顶的更久,61419611914,沧浪之水jx
油车这法玩小心一氧化碳中毒,75188534308,穿靴子的猫104
为什么不下高速 天气预报不看吗[石化],6663298440,明天明日何
开露营模式基本上一个小时下去百分之1的电，特斯拉。,60332556873,你啊挺豪横
我的车待整半天就烧掉半箱油了[抠鼻],2972709341378359,榜一大哥z
出门都不肯看天气预报和导航吗,111243117692,奇幻柑桔qk
唉，总的来说，电车就是又能杠，又能趴窝。。。,4686962328,这里有些时候我
插混撑的应该久一点，如果带露营模式的话能更舒服点,5840024621,你们什么时候玩够呀
电车装个柴暧就行了，几百块钱的事,105865362997,静水流深229
油车不动开空调是傻，一氧化碳中毒的风险太大！,63202294595,sjbdfe5kn
油车不怕小孩中毒啊，还开空调睡觉咋想的,4372197975,来自小镇上的男子
我有个疑问，冻雨灾害提前有预警吗，有的话为什么还开车出行。,6756572131,王小胖妹妹
欢迎你们来东北,333878872776231,神秘哇塞老头
油车最省电！重要的事说三遍。,2018314549725965,乘风的猪PP
油车怠速开空调睡觉不怕有积碳吗 我是新手 能解答吗,68807119857,头发乱了in
啥叫冻雨啊，不就是雨夹雪吗？清理的及时啥事都没有，沈阳10 11 12月份的时候经常这么下，一般雪停大马路就干净了。小道上不及时清理就变成厚厚的一层冰了,2773399674298556,开朗晚风FUq
一个小时一升油，看邮箱多大，70升油箱就是70个小时，一般家用A级车55升油箱，B级车70升。,13744485714,是谁坑了我们老百姓
堵在那个地段了？,4722022486,觉悟0521
没什么可争执的，高铁现在都要请求绿皮出战了[大笑]还是油车更靠谱更稳定,5956650220,无病第一利
抽烟的没烟了也难受,3337760262077837,智者星球Ly8
油车怠速很耗油的,104513123984,一条咸鱼TMD
開汽油要小心一氧化碳入車箱,1596125913025787,kent81
可以几个人挤一辆车取暖，待汽油耗尽再去另一辆车取暖，这行就解决了断油没电的难题,2519705393051908,简单芒果2V7
油车怠速开暖气一个小时两升油，24小时48升油，你一箱油可以顶两三天？,104493315403,中华利剑0001
0度左右电车空调一小时2度电,1912767549280044,lihai813
电车没开过没有发言权，不过我们这里的出租车好多都加装的柴暖，说是开空调取暖续航实在顶不住,105421925415,欧啦魂淡
他们电车说一小时一度电[捂脸],1046344839988119,无忧吴滤
开电车的没事，今天他们是说了，包括有什么号称什么博主的，说电车没问题，要油车多加小心，所以咱别担心电车了，油车危险,4224030364,榴乡路
油车有一氧化碳中毒风险,101537454398,不惑之年9心如止水
关键导航只能参考，疏通开的时间有时会大大延长。电车朋友们特注意的！,100201250406,执着的沙滩kq
电车不动基本算一天损耗5km，开空调也就是20-30km,96621759408,戛萨迪
我就是关心，你们堵那还能赶上过年么？,5450485477,星星55173692
新能源混动车在里面躺着大沙发吹空调，泡咖啡，唱卡拉OK，看电影，不管是比亚迪dmi还是理想等混动，都是油车续航的两倍[捂脸]堵车路上从来不慌，油车司机挨冻可以去新能源车上蹭空调。,272332150281007,牛人每文001
妙笔生花,103551128291,自在YOU姐
主要前方有服务区，大胆的用,3814368942,LiGuiKuan
疯狂比心,111444533520,小原子的妈妈
跑长途还是油车吧，方便。市区开电车方便，所以得买俩[捂脸],6118640383,哥不够洒脱80049021
纯电汽车，大多采用75度磷酸铁锂电池，就以最小电池75度为例，冬天开空调评论一小时1度电，理论上为75小时，算上少量其他损耗，65小时空调没问题，我有什么不敢开，我不仅开空调，我还开座椅加热，我还看电视！还没噪音，没汽油味，简直不要太舒服,83929115493,帅哥帅懵逼
支持一下,109305409768,cyh091129
🎊一起迎接春节,18739325793,冰封心碎LXL
知道要下雪电车还上高速，，怎么说呢。。自求多福,106568540028,霸气外泄860
厉害厉害,5488781056,Mr决然
外出打工人，回老家开车的，还是买油车，比电车心里踏实。本地人城市通勤特别是有车位的，想也不要想就上电车，使用成本低，各种驾驶体验的提升非常明显，节假日出游交给高铁飞机。,2927650003,火火3839087
其实你可能不知道，电车驻车开空调能坚持更久。因为油车开空调必须怠速，是非常浪费能量的。,99743051911,冷门诗人8873
短途代步电车占优势，长途出行油车占优势。各有千秋吧,84821436973,御风凌云
基本针对北方，南方适合电车,6993468141,托蒂表示
跟附近村民多买几条被子吧，吃的香肠也多买点。一堵会好多天吧,50449651382,风里风光
除了老年代步车我是没打算买电车,202767750413960,端庄小鱼iK
电车不适合长途,111350860439,公路滑翔维斯帕
我朋友回家之前，把我家两个油桶借走了，完全不担心没油,57345454986,小甜甜快扶我
混动啊,6594841647,bxyang
出门都不看天气预报吗？,92862680092,山涧溪水才甘甜
电车开一周没问题,2814323583,老王解锁
电车就是锂电池，电量显示是两头大，中段小,5178626191,屋后一枯池
🎊一起迎接春节,63921086034,行者1557988
电车，可以只启动空调的，可以顶一个星期。,73925977908,金海边
别杠了，电车根本就不适合长途，短途代步还是相当可以的。,6096384765,明鍋鍋78882606
🎊一起迎接春节,6568067757,138天天开心
我的破面包车冬天都不用空调，有暖风，,2582127290354205,直爽的边城浪子0808
🎊一起迎接春节,61558762094,生命本没名字
咱有柴暖，半箱油也能撑好几天[捂脸],6906066612,鑫伟电喷
🎊一起迎接春节,4230092226,青岛第二深情
所以我买两辆车，一电一油[呲牙],6904768484,云子龙one
一针见血,76942549690,水清梦蓝57971
迎接春节,3686039838268542,坦荡的喜鹊G
电动车是趋势，至于目前咋样不好说，甘苦自知[呲牙],7021727876,关注安全，珍爱生命
🐲一起迎接龙年,104669290090,用户5751627128370
美国1911年就有了新能源，人家为啥抛弃了新能源！要等100年以后我们开发吗？看不懂！,1060355866889772,用户7733535316092
提前下高速啊，什么路况都不判断吗,105206978505,小明5164
如果电车性能很ok，为什么劳斯莱斯，兰博基尼，阿斯顿马丁这种系列不出电车？？但凡这些豪车开始出电车，那才是电车普及的时代[灵光一闪][灵光一闪][灵光一闪],104465614924,王大爺v
🎊一起迎接春节,50032328342,梦语语林都是我
春运回家路,106969201610,御风飞扬616
就服务区存那点油够你们加吗？送油的车都可能堵路上没油了！,54348572378,受不了59
很多油车车主想当然的认为电车堵车会趴窝。这种情况不就是没有没有，因为电量低（和油车没油一个道理），电车怕高速行驶，至于堵车暖风会耗干电量，[捂脸]您可以参照电车露营，开一宿空调消耗电量多少来推算（除非极冷的东三省）,103471197373,都市之虎
油还没耗完，电也没耗完，过完年了。,3550054814,人类不正常事件巡视员
查了一下，有人做的测试，电车原地制热开暖风，每小时2.3度电,4558798448,正大腾飞
混动就是为两种情况考虑的，平时省油，关键时候高宇航，我的混动，平时用电香得很，长途宇航1000公里，啥都不虚。,106039754831,黄妈妈吃货成长记
说得对,95745708378,我是阿冬
热泵空调一晚上10多度电,962825604571351,用户1314738558216
像这种已知天气恶劣的情况下，真得要多存备些物资,109825131032,mddxx
🎊一起迎接春节,100309505283,Time尚善若水
谁说一箱油能顶2三天的？堵高速上，开空调，一天不到肯定没油,1339139651,粟千悦
别吵了，一句话，舍得花钱的都不会有事[捂脸],57711961519,绿皮大青蛙
说电车不好电车车主都出来了哈哈好电车最好了[捂脸],95547406953,小爱牛
确实省油,54660882174,专利活塞环
上高速是油车最后的倔强,55127343694,燕十三必特福
🎊一起迎接春节,93285960079,风轻云淡了无痕
不服不行,7857054658,云卷云舒365794
现实版 人在囧途[捂脸],3452119454063940,火焰HY
绝了绝了,96374460187,胶水小点
迎接新春，电车油车哪个更能抗呢？,959193222222323,恩恩爱爱821
先解释一下为什么80％的油能顶两三天，而半箱油只能顶半天？这30％的油为什么这么厉害？,6698275980,我是平凡的也是伟大的
说明你根本不了解电车，也不了解插电混动车。,104879039387,尚知2
肯定电车好，实在冷了就撞一个，那自然的大火能烤不少时间呢，顺便开个晚会！,51099811455,小鱼154310269
零下三度为什么不下雪下冻雨呢,108176733592,三少爷的斧子
🎊一起迎接春节,15173945140,海航梓
弃车到老乡家去住。,1605752550328397,沐雪
各位别说极端情况了，我就说一点事实上在大雪天导致高速堵车的情况下，油车我觉得比电车相对靠谱。毕竟油能源可以补充，而在高速上非服务区地段你要补电是几乎不可能的。所以相对来说还是油车靠谱。,1220258603,好sir之徒
见解独到,109915499004,XZ099
🐲一起迎接龙年,5840470809,yugongming
这时就显示混动的优势了,3058258177,我的来电闪
迎接春节,1679687467153439,爱吃鱼的小晶晶
🎊一起迎接春节,80996704334,青鸟3033
🐲一起迎接龙年,905597384403447,晏尛
这次冻雨连南方都会慎买电动车了,3944024843,哲理人生30168361
油车车上有空座的能不能招呼跟前电车的人上来暖和暖和呢？[捂脸],5828686160,活着吃
车怠速不走，严重影响环境！建议环保部门严查此类行为！重罚油车怠速开空调,2859204487416231,199400自由人
🎊一起迎接春节,3134064800575963,富足西柚KL
电车最牛逼！宇宙第一！,3385511559,墨森8613
大神们肯定没堵在高速公路上,6693905458,没事儿106081916
🎊一起迎接春节,16364766879,直爽风声Rr
电车车主好的很，而且有办的取暖，大家不用担心,6257784371,辣不甜77
电车在技术上没突破就不会买,62937145971,乡下头的人
今年这场雪下的真不是时候，大家回家的时候开始下，很多人都在路上了,1260276502,小智来说育儿实战
🐲一起迎接龙年,55755164876,段友嘴下留情
电车上高速，在遇上极端天气，堵车，无解,78127870835,丁瑞
支持一下,97092052967,可靠天空JY
每年死在油车开空调中毒的至少有百人了吧？,4060522459,武器知识
刚看到新闻，一男一女（好像还是干部）开空调完犊子了,4060522459,武器知识
🎊一起迎接春节,6927976426,微笑面对119662391
电车基本都在100左右巡航。堵死人[捂脸]。什么牌子的差不多这速度，导致并排快不了。今天刚跑了高速回到家。,6740002736,只因好奇而已
电车开一天电，才掉续航100公里。可以撑5天[泪奔],2212652142582893,执着的咖啡n4
🐲一起迎接龙年,4257737160010180,用户4943774231884
靠谱点，电车可以开着空调看电影。,5883541884,浮生52077
一语中的,4182027599,无路可逃34989003
用电用油？关我增程车啥事？我都有[笑哭][笑哭][笑哭],106076637283,擒贼先擒王先生吖
🎊一起迎接春节,52279699577,牛耿王牛骨面
为什么非得把人困在高速上？就近下高速各自安好不可以吗？,7756829999,tlstjz
🎊一起迎接春节,104579723479,浮光掠影0821
把车靠边，从高速旁走下来吧。有孩子别耗着了,111072244834,单纯梦想家VX
这时候房车最好了。,2571081168202574,足智多谋梦想MJ
电车也有空调你不知道吗？,59937569213,寒冬飞雪21
"这个时候理想是不是会好一点,能当床,能用电能用油",6569841685,小哒哒额
大哥以为极寒天气油车能扳回一局，实际按怠速1升多算，差不多4kw，电车空调一般不超过2kw，实际能耗也就你一半，我混动的，数据真实,2760424739,青山如是22485022
🐲一起迎接龙年,94192298158,唐钰22222
🎊一起迎接春节,85028240795,蓝天
这个时候电车就扯蛋了[呲牙],2195088921869965,Assassin
你就说充电便不便宜吧,53533973492,保温杯上泡枸杞
精辟,4490043462789667,潮汕小肥龙vcr357
在现场的油车电车最有发言权。,5083482621,黑心大罗卜
油车窗户得漏缝啊，匀速状态下制热也不咋样不要互相笑话了都差不多。,5779756024,最若无訫
都别吵，我没电了趴窝了我后面的油车一样自求多福[大笑],50883129307,厦门首负来了
电车开空调不费多少电……,4218161012150413,扒O后
太到位了,6006206015,pipo2275
注意二氧化碳，一氧化碳浓度啊,110257167244,Quinn宝贝
有道理,50208042109,鸡腿i
🐲一起迎接龙年,1319878741988237,伝极子
一语中的,6070136415,tomback
电车开空调比油车省多了，油车发动机一直开着,927615763893075,清闲的青山fq
🎊一起迎接春节,108070334585,WSD
这么密集的堵车，怠速都是一氧化碳，就算开着窗也不放心，天冷气压低更容易出事～,3767682873,01只沾花不惹草
🐲一起迎接龙年,15254361001,高贵露珠CT
🎊一起迎接春节,4136962264,我很穷34009103
我就不信零下三度滴水成冰，我现在零下五度在外面洒点水都冻不住，除了东北能洒水成冰，其他地方及时清理都造不成大面积结冰，就是经验不足应对不力,67019231486,R火箭哥
电车几十度的电池..开一晚空调最多掉几度电..而且不伤车不要太香…我冬天都在车里开暖气睡午觉,99740024642,Artmoon阿童木
🐲一起迎接龙年,3509255961323240,Clima365
🐲一起迎接龙年,93285960079,风轻云淡了无痕
🎊一起迎接春节,110794314563,恩嬉宝贝
湖北高速管事太差了，既然不能动了，就赶紧组织一下，把人都接下高速，准备物资，就地搭帐篷，送棉被！,57582382124,没得到才是最好的
堵个半天一天的，电车应该是没问题的，但是堵个两天三天的，电车应该撑不住吧？,6684505886,水水105060902
没什么好杠的，短途代步上下班电车真爽，长途个人感觉还是油车靠谱。,4243944637,江南皮革厂鹤老板
🎊一起迎接春节,3874333100082542,任冉穹
但愿电车车主能坚持住,54472219825,熊鼠强
春运车多，油车司机很少考虑路上之忧，电车司机很多不敢开车回去,1864374629174952,kmd路过的
🐲一起迎接龙年,103001311751,用户7783830540111
别可怜电车[呲牙],62132075653,路在何方254498449
堵个两三天，年都过完了,5471373573,漠北之南呀
厉害厉害,92358492064,高冷蛋糕U
🐲一起迎接龙年,66852745363,一抹微笑CHrc
🐲一起迎接龙年,794306113702944,梦幻钢笔IO
🐲一起迎接龙年,6338931744,坏哥13395698872
🎊一起迎接春节,2053505226649379,恋恋青杏
🎊一起迎接春节,88346560356,梅子15463
说得对,229119940372407,用户7130015184850
60度电的model Y外温0度，空调21度9小时耗电1/7不到。折算时间可以开空调63小时以上。当然这是满电的情况下，快没电的时候遇上大堵车就惨了。😂,52430190323,PlalaM
🎊一起迎接春节,3029875356871963,传道以文
不下高速，找农户家先住着？,103689109186,高级宇宙fl
活着比什么都重要，其他的就靠上天保佑吧，不要奢望太多,74605818590,TONY5436
买了四十个暖宝宝才坐车[泪奔],1569737367626174,朴实枫叶DK
厉害厉害,92717640602,幸运喜鹊Xj
希望紧快脱困[祈祷],94746087246,hjhlrhyw
🐲一起迎接龙年,3061513149,光明区少年宫大boss
不服不行,5869659571,小小邱的快乐日常
🎊一起迎接春节,61516229730,极致leo
🎊一起迎接春节,109861151128,小牧的梦想
电车省油不用担心,3699327062,输赢都得浪
🎊一起迎接春节,71053396498,(☆_☆)
厉害厉害,58567139769,李生191489309
加油,73584569792,恒大首富欠我钱
一车坐五六个人的真的要难受死呆车里,18050828741187,Aa户外亮化照明
这时候可以启动座椅加热，低压低温耗电少,2968274943622926,魔力巴巴芝麻开花
有没有航拍第一辆车跟最后一辆车都在干嘛,59115720406,小生逗佳人
希望快点通行，小孩子最可怜了，别冻坏了。,2906726372219516,乖巧饺子BB
油车摊牌了，预计会堵车，车上都载着200升油，这就是优势,6348213077,网牛科技
一起加油,1038365899627255,我失踪多年的亲爸
🎊一起迎接春节,2159030494038679,幸运星辰xHE
小心一氧化碳,53608327054,一秒钟9
专家可以用新能源发电,4494447617519709,月光下的夜明猪
一般热泵制热功率在1-2千瓦，PTC在3-5千瓦。看电池几度算一下,2890584283,二代看热闹
🐲一起迎接龙年,23042439953,乔大王的时光
🎊一起迎接春节,3935848048891853,紫峰云岭
🐲一起迎接龙年,2772013549,常州方程豹5改装
太到位了,70493390121,梦泪222311498
🐲一起迎接龙年,1472956713142269,启园Q
🎊一起迎接春节,4603962187,欧拉拉8198
一针见血,3008071095,蝴颜乱羽4651385
电车一晚上，热泵空调最多6 度左右，70 度电的车可以耗 5天左右,103663969150,qwestfzcs
妙笔生花,958406310769991,用户7942290996291
🎊一起迎接春节,88406194497,星空相马
记得开窗，小心一氧化碳中毒。,96843009151,追梦人之人生赢家
看了一下评论，本来是说堵车的问题，结果全是讨论油车和电车的问题。,2889146024073783,悠闲铅笔c
这孩子可跟着造了罪了！,59240457586,竺天麟
🎊一起迎接春节,110530485140,聪明的钢笔Fk
🎊一起迎接春节,8410797180471,崴虎山上
🎊一起迎接春节,101727613552,用户4836852552057
3 缸当道的年代，半箱油都能一天半了,97061040282,子夜噬魂
我觉得回家过年还是坐动车比较好，开车又累，然后还堵，遇到这极端天气更糟糕,110561298159,平阳水头眉毛
看来，我18度电池不敢上高速了[捂脸][捂脸][捂脸],106755432717,三环线上
说这个话的人是不懂车子空间小，空调不费电的。,3781561445,特维斯特
🎊一起迎接春节,4503197564808784,风丫风丫
80%的油跟80%的电，你觉得谁撑的比较久，说话要讲依据,4422895620,刚好回家看看
🎊一起迎接春节,67455634415,好大一芋头
🎊一起迎接春节,6442533576,柏子桥89554251
🐲一起迎接龙年,50483808848,無痕128182996
🐲一起迎接龙年,67339243285,宸葉
你满油敢开一天空调算你赢,131540548596743,奋发漂流瓶D
🎊一起迎接春节,3421291395418188,JUNE  SNOW
🎊一起迎接春节,1332253265502231,xiangfei156
大型户外移动电源了解一下,5906903614,监狱长麦哲伦
冷知识，电车不开的时候，停一个月都不掉什么电，我冬天开车也不开暖气，不管是油车还是电车，小空间我自己都热死，不需要再开空调,3223413348381211,tj309
妙笔生花,54003154097,蓝色阿蓝
一箱油都差不多一天,1160682594383455,劳动人民CXX
下高速的时候后，还会收高速费吗？？？,111505962640,谁是谁非教体育
[呲牙][呲牙][呲牙],92817632532627,老匹夫
🐲一起迎接龙年,4045793813334270,用户9476263667629
一针见血,3056275371596167,路途心境
🐲一起迎接龙年,16905534083,偶像派演技派
看的心累,86093193442,终身美丽
油车怠速0.6L/H左右，暖气不增加明显油耗，一般跑高速会保持30L左右余量，也就是50H，差不多2天多一点！开一点窗户缝，睡觉换着睡，避免中毒或车异常。希望早日通车，平安回家团聚。,5399930362,总有人盯着昵称读到底
🐲一起迎接龙年,4076463017,独一妩32877286
🎊一起迎接春节,2837185793893789,勇者蜻蜓c
🎊一起迎接春节,43569071522925,铁憨憨铁头娃
高速上看春晚,62506223714,营养碎碎念
是不是油车省电，电车省油？,4454176841,无畏于生活
🎊一起迎接春节,70244281006,用户1864404359281
🎊一起迎接春节,3201371368343470,用户151560374386
现在的问题是如果再堵几天。无论油车电车都会没油没电。到时候通车了。这些车怎么走,110622806408,油炸麻花儿
受益良多,104133412590,空念H
三度？零下？这叫事？,6929633078,快乐奥数1
一箱油只能顶2，3天啊，电车我感觉可以顶一个星期。关键是你一箱油的钱，电车半年也不一定开的玩,4558623541,LL43728696
听说电车在低温下就算什么都不用电量也会消耗，仪表那里不准确的，要你行驶一段距离才准确,5861252038,Paul-x
太到位了,70333645740,quiet279531706
小心一氧化碳中毒,2162797764,KK的一切
各有千秋,12461001035,手机用户12461001035
没电车都不知道电车停着开空调爽[偷笑],50271870525,聪慧梦幻美丽人生
我说话不怕得罪网友了哈，我能买的起车，我就加的起油，我买不起，就骑个电动车也0k。,15254361001,高贵露珠CT
有道理,9773355865,温温温文尔雅温
